satellite sensor  date(AAAAMMGG)  time(hh:mm) TRACKS_CL7_lat  TRACKS_CL7_lon  MeRCAD_lat MeRCAD_lon geo_dist(km) RMW(km) Vmax(m/s) closed_ring
MetOp-A  ASCAT  20201224  08:37  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
MetOp-C  ASCAT  20201224  09:04  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
MetOp-B  ASCAT  20201224  09:51  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
MetOp-C  ASCAT  20201224  10:44  44.202   7.959   NaN  NaN  NaN  NaN  NaN NaN
MetOp-A  ASCAT  20201224  18:18  44.556   8.612   NaN  NaN  NaN  NaN  NaN NaN
MetOp-B  ASCAT  20201224  19:33  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
MetOp-A  ASCAT  20201224  19:59  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
MetOp-C  ASCAT  20201224  20:26  44.625   8.56   NaN  NaN  NaN  NaN  NaN NaN
MetOp-B  ASCAT  20201224  21:13  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
MetOp-A  ASCAT  20201225  08:16  44.16   9.149   NaN  NaN  NaN  NaN  NaN NaN
MetOp-C  ASCAT  20201225  08:44  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
MetOp-B  ASCAT  20201225  09:31  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
MetOp-C  ASCAT  20201225  10:24  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
MetOp-A  ASCAT  20201225  17:58  43.604   9.243   NaN  NaN  NaN  NaN  NaN NaN
MetOp-B  ASCAT  20201225  19:12  43.54   9.216   NaN  NaN  NaN  NaN  NaN NaN
MetOp-A  ASCAT  20201225  19:37  43.416   9.21   43.6  9.54  33.22  141.85  15.98  0
MetOp-C  ASCAT  20201225  20:05  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
MetOp-B  ASCAT  20201225  20:52  43.244   9.209   43.52  9.11  31.82  77.4  18.94  0
MetOp-A  ASCAT  20201226  07:55  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
MetOp-C  ASCAT  20201226  08:23  40.925   10.622   NaN  NaN  NaN  NaN  NaN NaN
MetOp-B  ASCAT  20201226  09:10  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
MetOp-C  ASCAT  20201226  10:04  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
MetOp-A  ASCAT  20201226  19:16  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
MetOp-C  ASCAT  20201226  19:44  39.522   12.883   39.62  12.93  11.75  241.98  15.1  0
MetOp-B  ASCAT  20201226  20:31  39.395   12.972   39.47  13.02  9.61  231.68  13.58  0
MetOp-A  ASCAT  20201227  07:35  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
MetOp-C  ASCAT  20201227  08:02  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
MetOp-B  ASCAT  20201227  08:49  40.361   17.513   NaN  NaN  NaN  NaN  NaN NaN
MetOp-C  ASCAT  20201227  09:43  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
MetOp-B  ASCAT  20201227  18:30  42.168   17.192   NaN  NaN  NaN  NaN  NaN NaN
MetOp-A  ASCAT  20201227  18:56  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
MetOp-C  ASCAT  20201227  19:23  42.168   17.192   42.17  17.19  0.0  51.83  19.65  0
MetOp-B  ASCAT  20201227  20:11  42.308   17.38   42.31  17.38  0.0  18.07  19.59  0
